category,location,years,value,sea
고등어,경기도,1971,651,기타
고등어,강원도,1971,181,동해
고등어,충청남도,1971,257,기타
고등어,전라북도,1971,307,기타
고등어,전라남도,1971,4e3,기타
고등어,경상북도,1971,227,동해
고등어,경상남도,1971,5281,기타
고등어,제주도,1971,2666,기타
꽁치,부산광역시,1971,1354,동해
꽁치,경기도,1971,0,기타
꽁치,강원도,1971,7801,동해
꽁치,전라남도,1971,37,기타
꽁치,경상북도,1971,20961,동해
꽁치,경상남도,1971,439,기타
꽁치,제주도,1971,0,기타
학공치,부산광역시,1971,0,동해
학공치,강원도,1971,0,동해
학공치,충청남도,1971,15,기타
학공치,전라북도,1971,0,기타
학공치,전라남도,1971,114,기타
학공치,경상북도,1971,0,동해
학공치,경상남도,1971,829,기타
학공치,제주도,1971,0,기타
넙치류,부산광역시,1971,803,동해
넙치류,경기도,1971,525,기타
넙치류,강원도,1971,173,동해
넙치류,충청남도,1971,263,기타
넙치류,전라북도,1971,361,기타
넙치류,전라남도,1971,442,기타
넙치류,경상북도,1971,134,동해
넙치류,경상남도,1971,1634,기타
넙치류,제주도,1971,1,기타
노가리,강원도,1971,0,동해
노가리,경상북도,1971,0,동해
노가리,경상남도,1971,0,기타
농어류,부산광역시,1971,53,동해
농어류,경기도,1971,44,기타
농어류,강원도,1971,0,동해
농어류,충청남도,1971,48,기타
농어류,전라북도,1971,0,기타
농어류,전라남도,1971,78,기타
농어류,경상북도,1971,2,동해
농어류,경상남도,1971,32,기타
농어류,제주도,1971,6,기타
눈볼대,부산광역시,1971,773,동해
눈볼대,경기도,1971,0,기타
눈볼대,강원도,1971,87,동해
눈볼대,전라남도,1971,72,기타
눈볼대,경상남도,1971,423,기타
능성어,부산광역시,1971,169,동해
능성어,경기도,1971,0,기타
능성어,충청남도,1971,0,기타
능성어,전라남도,1971,30,기타
능성어,경상남도,1971,73,기타
능성어,제주도,1971,11,기타
기타다랑어류,강원도,1971,0,동해
기타다랑어류,충청남도,1971,1,기타
기타다랑어류,전라남도,1971,1,기타
기타다랑어류,경상북도,1971,43,동해
기타다랑어류,경상남도,1971,15,기타
기타다랑어류,제주도,1971,0,기타
도루묵,부산광역시,1971,1355,동해
도루묵,경기도,1971,2,기타
도루묵,강원도,1971,17342,동해
도루묵,전라북도,1971,0,기타
도루묵,전라남도,1971,25,기타
도루묵,경상북도,1971,5495,동해
도루묵,경상남도,1971,590,기타
대구,부산광역시,1971,711,동해
대구,경기도,1971,897,기타
대구,강원도,1971,161,동해
대구,전라북도,1971,46,기타
대구,전라남도,1971,0,기타
대구,경상북도,1971,69,동해
대구,경상남도,1971,687,기타
감성돔,부산광역시,1971,137,동해
감성돔,강원도,1971,0,동해
감성돔,충청남도,1971,0,기타
감성돔,전라남도,1971,58,기타
감성돔,경상남도,1971,301,기타
감성돔,제주도,1971,3,기타
옥돔,전라남도,1971,0,기타
옥돔,경상남도,1971,15,기타
옥돔,제주도,1971,96,기타
참돔,부산광역시,1971,298,동해
참돔,경기도,1971,2,기타
참돔,강원도,1971,0,동해
참돔,충청남도,1971,60,기타
참돔,전라북도,1971,87,기타
참돔,전라남도,1971,257,기타
참돔,경상북도,1971,0,동해
참돔,경상남도,1971,229,기타
참돔,제주도,1971,34,기타
기타돔류,부산광역시,1971,226,동해
기타돔류,경기도,1971,0,기타
기타돔류,강원도,1971,19,동해
기타돔류,충청남도,1971,35,기타
